,Age,SqM,Room,Floor,Price
0,15 Yaşında,"
                          385 m2",5 + 2,"
","
              67.500
              TL"
1,5 Yaşında,"
                          108 m2",1 + 1,"
                      Ara Kat","
              38.000
              TL"
2,5 Yaşında,"
                          108 m2",1 + 1,"
                      Ara Kat","
              38.500
              TL"
3,4 Yaşında,"
                          169 m2",2 + 1,"
                      9. Kat","
              100.000
              TL"
4,45 Yaşında,"
                          330 m2",5 + 1,"
                      Bahçe Katı","
              155.000
              TL"
5,35 Yaşında,"
                          170 m2",3 + 1,"
                      1. Kat","
              17.000
              TL"
6,30 Yaşında,"
                          1.000 m2",4 + 2,"
                      5. Kat","
              200.000
              TL"
7,Sıfır Bina,"
                          570 m2",7 + 1,"
                      16. Kat","
              210.000
              TL"
8,15 Yaşında,"
                          160 m2",2 + 1,"
                      Bahçe Katı","
              26.000
              TL"
9,31 Yaşında,"
                          600 m2",6 + 2,"
","
              255.000
              TL"
10,10 Yaşında,"
                          388 m2",5 + 2,"
","
              77.500
              TL"
11,26 Yaşında,"
                          160 m2",3 + 1,"
                      3. Kat","
              16.000
              TL"
12,2 Yaşında,"
                          100 m2",2 + 1,"
                      Bahçe Katı","
              3.000
              TL"
13,2 Yaşında,"
                          350 m2",3 + 2,"
","
              55.000
              TL"
14,30 Yaşında,"
                          120 m2",3 + 1,"
                      2. Kat","
              6.000
              TL"
15,25 Yaşında,"
                          200 m2",4 + 1,"
                      4. Kat","
              8.500
              TL"
16,4 Yaşında,"
                          85 m2",2 + 1,"
                      Ara Kat","
              13.000
              TL"
17,45 Yaşında,"
                          220 m2",3 + 1,"
                      4. Kat","
              90.000
              TL"
18,10 Yaşında,"
                          70 m2",2 + 1,"
                      Yüksek Giriş","
              6.000
              TL"
19,30 Yaşında,"
                          90 m2",2 + 1,"
                      4. Kat","
              5.000
              TL"
20,23 Yaşında,"
                          55 m2",1 + 1,"
                      12. Kat","
              7.000
              TL"
21,30 Yaşında,"
                          150 m2",3 + 1,"
                      2. Kat","
              15.000
              TL"
22,1 Yaşında,"
                          127 m2",3 + 1,"
                      Giriş Katı","
              7.500
              TL"
23,31 Yaşında,"
                          165 m2",3 + 1,"
                      1. Kat","
              25.000
              TL"
24,13 Yaşında,"
                          200 m2",3 + 1,"
                      2. Kat","
              60.000
              TL"
25,12 Yaşında,"
                          200 m2",3 + 1,"
                      3. Kat","
              70.000
              TL"
26,25 Yaşında,"
                          105 m2",2 + 1,"
                      14. Kat","
              14.000
              TL"
27,21 Yaşında,"
                          120 m2",3 + 1,"
                      3. Kat","
              8.500
              TL"
28,26 Yaşında,"
                          90 m2",2 + 1,"
                      3. Kat","
              8.500
              TL"
29,4 Yaşında,"
                          75 m2",2 + 1,"
                      2. Kat","
              8.000
              TL"
30,30 Yaşında,"
                          130 m2",3 + 1,"
                      2. Kat","
              13.000
              TL"
31,1 Yaşında,"
                          200 m2",4 + 1,"
                      En Üst Kat","
              15.000
              TL"
32,14 Yaşında,"
                          110 m2",3 + 1,"
                      1. Kat","
              6.000
              TL"
33,20 Yaşında,"
                          156 m2",3 + 1,"
                      Yüksek Giriş","
              37.500
              TL"
34,35 Yaşında,"
                          125 m2",2 + 1,"
                      5. Kat","
              22.000
              TL"
35,16 Yaşında,"
                          140 m2",3 + 1,"
                      1. Kat","
              8.000
              TL"
36,3 Yaşında,"
                          150 m2",3 + 1,"
                      Bahçe Katı","
              36.500
              TL"
37,8 Yaşında,"
                          135 m2",2 + 1,"
                      Yüksek Giriş","
              21.000
              TL"
38,30 Yaşında,"
                          125 m2",3 + 1,"
                      En Üst Kat","
              7.000
              TL"
39,16 Yaşında,"
                          850 m2",8 + 2,"
","
              80.000
              TL"
40,3 Yaşında,"
                          110 m2",2 + 1,"
                      1. Kat","
              8.000
              TL"
41,3 Yaşında,"
                          60 m2",1 + 1,"
                      Yüksek Giriş","
              9.000
              TL"
42,1 Yaşında,"
                          120 m2",2 + 1,"
                      Ara Kat","
              17.000
              TL"
43,45 Yaşında,"
                          120 m2",3 + 1,"
                      Teras Katı","
              17.500
              TL"
44,15 Yaşında,"
                          180 m2",4 + 2,"
                      4. Kat","
              11.000
              TL"
45,30 Yaşında,"
                          170 m2",3 + 1,"
                      1. Kat","
              29.500
              TL"
46,26 Yaşında,"
                          125 m2",3 + 1,"
                      1. Kat","
              7.000
              TL"
47,Sıfır Bina,"
                          105 m2",2 + 1,"
                      3. Kat","
              15.000
              TL"
48,9 Yaşında,"
                          60 m2",1 + 1,"
                      4. Kat","
              14.000
              TL"
49,6 Yaşında,"
                          390 m2",6 + 2,"
","
              20.000
              TL"
50,25 Yaşında,"
                          100 m2",2 + 1,"
                      1. Kat","
              14.000
              TL"
51,5 Yaşında,"
                          100 m2",3 + 1,"
                      Ara Kat","
              9.000
              TL"
52,11 Yaşında,"
                          85 m2",1 + 1,"
                      9. Kat","
              17.000
              TL"
53,16 Yaşında,"
                          280 m2",4 + 2,"
                      Çatı Katı","
              32.000
              TL"
54,30 Yaşında,"
                          120 m2",3 + 1,"
                      2. Kat","
              13.500
              TL"
55,50 Yaşında,"
                          120 m2",2 + 1,"
                      9. Kat","
              16.500
              TL"
56,1 Yaşında,"
                          137 m2",2 + 1,"
                      9. Kat","
              18.500
              TL"
57,11 Yaşında,"
                          500 m2",4 + 1,"
","
              89.000
              TL"
58,35 Yaşında,"
                          100 m2",2 + 1,"
                      2. Kat","
              18.000
              TL"
59,4 Yaşında,"
                          75 m2",1 + 1,"
                      5. Kat","
              13.000
              TL"
60,4 Yaşında,"
                          100 m2",3 + 1,"
                      Ara Kat","
              7.000
              TL"
61,4 Yaşında,"
                          91 m2",2 + 1,"
                      14. Kat","
              19.000
              TL"
62,4 Yaşında,"
                          90 m2",2 + 1,"
                      Bahçe Katı","
              5.750
              TL"
63,4 Yaşında,"
                          295 m2",3 + 2,"
","
              30.000
              TL"
64,Sıfır Bina,"
                          200 m2",3 + 2,"
                      3. Kat","
              6.000
              TL"
65,25 Yaşında,"
                          60 m2",1 + 1,"
                      4. Kat","
              4.000
              TL"
66,20 Yaşında,"
                          100 m2",2 + 1,"
                      Bahçe Katı","
              25.000
              TL"
67,26 Yaşında,"
                          173 m2",3 + 1,"
                      2. Kat","
              20.000
              TL"
68,5 Yaşında,"
                          70 m2",2 + 1,"
                      2. Kat","
              6.000
              TL"
69,Sıfır Bina,"
                          110 m2",2 + 1,"
                      1. Kat","
              30.000
              TL"
70,60 Yaşında,"
                          100 m2",2 + 1,"
                      Bahçe Katı","
              24.000
              TL"
71,4 Yaşında,"
                          90 m2",2 + 1,"
                      Bahçe Katı","
              7.250
              TL"
72,14 Yaşında,"
                          100 m2",2 + 1,"
                      4. Kat","
              5.000
              TL"
73,25 Yaşında,"
                          150 m2",3 + 1,"
                      3. Kat","
              6.500
              TL"
74,10 Yaşında,"
                          400 m2",7 + 1,"
","
              100.000
              TL"
75,35 Yaşında,"
                          125 m2",3 + 1,"
                      3. Kat","
              9.000
              TL"
76,2 Yaşında,"
                          75 m2",2 + 1,"
                      2. Kat","
              16.500
              TL"
77,28 Yaşında,"
                          80 m2",2 + 1,"
                      Yüksek Giriş","
              6.000
              TL"
78,5 Yaşında,"
                          125 m2",2 + 1,"
                      Çatı Katı","
              25.000
              TL"
79,4 Yaşında,"
                          70 m2",1 + 1,"
                      1. Kat","
              5.250
              TL"
80,7 Yaşında,"
                          75 m2",2 + 1,"
                      Yüksek Giriş","
              4.500
              TL"
81,21 Yaşında,"
                          148 m2",3 + 1,"
                      3. Kat","
              19.200
              TL"
82,35 Yaşında,"
                          90 m2",2 + 1,"
                      2. Kat","
              7.500
              TL"
83,5 Yaşında,"
                          130 m2",3 + 1,"
                      4. Kat","
              21.000
              TL"
84,11 Yaşında,"
                          85 m2",2 + 1,"
                      5. Kat","
              6.500
              TL"
85,5 Yaşında,"
                          63 m2",1 + 1,"
                      3. Kat","
              12.000
              TL"
86,5 Yaşında,"
                          144 m2",2 + 1,"
                      21 ve üzeri","
              45.000
              TL"
87,6 Yaşında,"
                          75 m2",1 + 1,"
                      Bahçe Katı","
              7.500
              TL"
88,2 Yaşında,"
                          65 m2",1 + 1,"
                      10. Kat","
              14.500
              TL"
89,33 Yaşında,"
                          180 m2",4 + 2,"
                      5. Kat","
              12.000
              TL"
90,35 Yaşında,"
                          110 m2",2 + 1,"
                      2. Kat","
              24.000
              TL"
91,Sıfır Bina,"
                          90 m2",2 + 1,"
                      3. Kat","
              8.000
              TL"
92,4 Yaşında,"
                          80 m2",2 + 1,"
                      Bahçe Katı","
              10.000
              TL"
93,6 Yaşında,"
                          200 m2",3 + 2,"
                      4. Kat","
              13.500
              TL"
94,25 Yaşında,"
                          200 m2",3 + 1,"
                      2. Kat","
              35.000
              TL"
